trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
11063173-MM2025-InvFer-Semaine-00,06:40:00,06:40:00,MM03,1,0,0
11063173-MM2025-InvFer-Semaine-00,06:44:00,06:44:00,MM02,2,0,0
11063173-MM2025-InvFer-Semaine-00,06:46:00,06:46:00,MM01,3,0,0
11063173-MM2025-InvFer-Semaine-00,06:47:38,06:47:38,MM04,4,0,0
11063173-MM2025-InvFer-Semaine-00,06:49:00,06:49:00,MM05,5,0,0
11063173-MM2025-InvFer-Semaine-00,06:50:51,06:50:51,MM07,6,0,0
11063173-MM2025-InvFer-Semaine-00,06:52:00,06:52:00,MM06,7,0,0
11063173-MM2025-InvFer-Semaine-00,06:58:00,06:58:00,MM08,8,0,0
11063174-MM2025-InvFer-Semaine-00,06:40:00,06:40:00,MM08,1,0,0
11063174-MM2025-InvFer-Semaine-00,06:45:00,06:45:00,MM06,2,0,0
11063174-MM2025-InvFer-Semaine-00,06:45:46,06:45:46,MM07,3,0,0
11063174-MM2025-InvFer-Semaine-00,06:47:00,06:47:00,MM05,4,0,0
11063174-MM2025-InvFer-Semaine-00,06:48:22,06:48:22,MM04,5,0,0
11063174-MM2025-InvFer-Semaine-00,06:50:00,06:50:00,MM01,6,0,0
11063174-MM2025-InvFer-Semaine-00,06:51:00,06:51:00,MM02,7,0,0
11063174-MM2025-InvFer-Semaine-00,06:56:00,06:56:00,MM03,8,0,0
11063175-MM2025-InvFer-Semaine-00,06:30:00,06:30:00,MM03,1,0,0
11063175-MM2025-InvFer-Semaine-00,06:34:00,06:34:00,MM02,2,0,0
11063175-MM2025-InvFer-Semaine-00,06:36:00,06:36:00,MM01,3,0,0
11063175-MM2025-InvFer-Semaine-00,06:37:38,06:37:38,MM04,4,0,0
11063175-MM2025-InvFer-Semaine-00,06:39:00,06:39:00,MM05,5,0,0
11063175-MM2025-InvFer-Semaine-00,06:40:51,06:40:51,MM07,6,0,0
11063175-MM2025-InvFer-Semaine-00,06:42:00,06:42:00,MM06,7,0,0
11063175-MM2025-InvFer-Semaine-00,06:48:00,06:48:00,MM08,8,0,0
11063176-MM2025-InvFer-Semaine-00,06:30:00,06:30:00,MM08,1,0,0
11063176-MM2025-InvFer-Semaine-00,06:35:00,06:35:00,MM06,2,0,0
11063176-MM2025-InvFer-Semaine-00,06:35:46,06:35:46,MM07,3,0,0
11063176-MM2025-InvFer-Semaine-00,06:37:00,06:37:00,MM05,4,0,0
11063176-MM2025-InvFer-Semaine-00,06:38:22,06:38:22,MM04,5,0,0
11063176-MM2025-InvFer-Semaine-00,06:40:00,06:40:00,MM01,6,0,0
11063176-MM2025-InvFer-Semaine-00,06:41:00,06:41:00,MM02,7,0,0
11063176-MM2025-InvFer-Semaine-00,06:46:00,06:46:00,MM03,8,0,0
11063177-MM2025-InvFer-Semaine-00,06:20:00,06:20:00,MM03,1,0,0
11063177-MM2025-InvFer-Semaine-00,06:24:00,06:24:00,MM02,2,0,0
11063177-MM2025-InvFer-Semaine-00,06:26:00,06:26:00,MM01,3,0,0
11063177-MM2025-InvFer-Semaine-00,06:27:38,06:27:38,MM04,4,0,0
11063177-MM2025-InvFer-Semaine-00,06:29:00,06:29:00,MM05,5,0,0
11063177-MM2025-InvFer-Semaine-00,06:30:51,06:30:51,MM07,6,0,0
11063177-MM2025-InvFer-Semaine-00,06:32:00,06:32:00,MM06,7,0,0
11063177-MM2025-InvFer-Semaine-00,06:38:00,06:38:00,MM08,8,0,0
11063178-MM2025-InvFer-Semaine-00,06:20:00,06:20:00,MM08,1,0,0
11063178-MM2025-InvFer-Semaine-00,06:25:00,06:25:00,MM06,2,0,0
11063178-MM2025-InvFer-Semaine-00,06:25:46,06:25:46,MM07,3,0,0
11063178-MM2025-InvFer-Semaine-00,06:27:00,06:27:00,MM05,4,0,0
11063178-MM2025-InvFer-Semaine-00,06:28:22,06:28:22,MM04,5,0,0
11063178-MM2025-InvFer-Semaine-00,06:30:00,06:30:00,MM01,6,0,0
11063178-MM2025-InvFer-Semaine-00,06:31:00,06:31:00,MM02,7,0,0
11063178-MM2025-InvFer-Semaine-00,06:36:00,06:36:00,MM03,8,0,0
11063179-MM2025-InvFer-Semaine-00,06:10:00,06:10:00,MM03,1,0,0
11063179-MM2025-InvFer-Semaine-00,06:14:00,06:14:00,MM02,2,0,0
11063179-MM2025-InvFer-Semaine-00,06:16:00,06:16:00,MM01,3,0,0
11063179-MM2025-InvFer-Semaine-00,06:17:38,06:17:38,MM04,4,0,0
11063179-MM2025-InvFer-Semaine-00,06:19:00,06:19:00,MM05,5,0,0
11063179-MM2025-InvFer-Semaine-00,06:20:51,06:20:51,MM07,6,0,0
11063179-MM2025-InvFer-Semaine-00,06:22:00,06:22:00,MM06,7,0,0
11063179-MM2025-InvFer-Semaine-00,06:28:00,06:28:00,MM08,8,0,0
11063180-MM2025-InvFer-Semaine-00,06:10:00,06:10:00,MM08,1,0,0
11063180-MM2025-InvFer-Semaine-00,06:15:00,06:15:00,MM06,2,0,0
11063180-MM2025-InvFer-Semaine-00,06:15:46,06:15:46,MM07,3,0,0
11063180-MM2025-InvFer-Semaine-00,06:17:00,06:17:00,MM05,4,0,0
11063180-MM2025-InvFer-Semaine-00,06:18:22,06:18:22,MM04,5,0,0
11063180-MM2025-InvFer-Semaine-00,06:20:00,06:20:00,MM01,6,0,0
11063180-MM2025-InvFer-Semaine-00,06:21:00,06:21:00,MM02,7,0,0
11063180-MM2025-InvFer-Semaine-00,06:26:00,06:26:00,MM03,8,0,0
11063181-MM2025-InvFer-Semaine-00,06:00:00,06:00:00,MM08,1,0,0
11063181-MM2025-InvFer-Semaine-00,06:05:00,06:05:00,MM06,2,0,0
11063181-MM2025-InvFer-Semaine-00,06:05:46,06:05:46,MM07,3,0,0
11063181-MM2025-InvFer-Semaine-00,06:07:00,06:07:00,MM05,4,0,0
11063181-MM2025-InvFer-Semaine-00,06:08:22,06:08:22,MM04,5,0,0
11063181-MM2025-InvFer-Semaine-00,06:10:00,06:10:00,MM01,6,0,0
11063181-MM2025-InvFer-Semaine-00,06:11:00,06:11:00,MM02,7,0,0
11063181-MM2025-InvFer-Semaine-00,06:16:00,06:16:00,MM03,8,0,0
11063184-MM2025-InvFer-Semaine-00,09:00:00,09:00:00,MM08,1,0,0
11063184-MM2025-InvFer-Semaine-00,09:05:00,09:05:00,MM06,2,0,0
11063184-MM2025-InvFer-Semaine-00,09:05:46,09:05:46,MM07,3,0,0
11063184-MM2025-InvFer-Semaine-00,09:07:00,09:07:00,MM05,4,0,0
11063184-MM2025-InvFer-Semaine-00,09:08:22,09:08:22,MM04,5,0,0
11063184-MM2025-InvFer-Semaine-00,09:10:00,09:10:00,MM01,6,0,0
11063184-MM2025-InvFer-Semaine-00,09:11:00,09:11:00,MM02,7,0,0
11063184-MM2025-InvFer-Semaine-00,09:16:00,09:16:00,MM03,8,0,0
11063185-MM2025-InvFer-Semaine-00,09:17:00,09:17:00,MM08,1,0,0
11063185-MM2025-InvFer-Semaine-00,09:22:00,09:22:00,MM06,2,0,0
11063185-MM2025-InvFer-Semaine-00,09:22:46,09:22:46,MM07,3,0,0
11063185-MM2025-InvFer-Semaine-00,09:24:00,09:24:00,MM05,4,0,0
11063185-MM2025-InvFer-Semaine-00,09:25:22,09:25:22,MM04,5,0,0
11063185-MM2025-InvFer-Semaine-00,09:27:00,09:27:00,MM01,6,0,0
11063185-MM2025-InvFer-Semaine-00,09:28:00,09:28:00,MM02,7,0,0
11063185-MM2025-InvFer-Semaine-00,09:33:00,09:33:00,MM03,8,0,0
11063187-MM2025-InvFer-Semaine-00,05:00:00,05:00:00,MM08,1,0,0
11063187-MM2025-InvFer-Semaine-00,05:05:00,05:05:00,MM06,2,0,0
11063187-MM2025-InvFer-Semaine-00,05:05:46,05:05:46,MM07,3,0,0
11063187-MM2025-InvFer-Semaine-00,05:07:00,05:07:00,MM05,4,0,0
11063187-MM2025-InvFer-Semaine-00,05:08:22,05:08:22,MM04,5,0,0
11063187-MM2025-InvFer-Semaine-00,05:10:00,05:10:00,MM01,6,0,0
11063187-MM2025-InvFer-Semaine-00,05:11:00,05:11:00,MM02,7,0,0
11063187-MM2025-InvFer-Semaine-00,05:16:00,05:16:00,MM03,8,0,0
11063188-MM2025-InvFer-Semaine-00,05:00:00,05:00:00,MM03,1,0,0
11063188-MM2025-InvFer-Semaine-00,05:04:00,05:04:00,MM02,2,0,0
11063188-MM2025-InvFer-Semaine-00,05:06:00,05:06:00,MM01,3,0,0
11063188-MM2025-InvFer-Semaine-00,05:07:38,05:07:38,MM04,4,0,0
11063188-MM2025-InvFer-Semaine-00,05:09:00,05:09:00,MM05,5,0,0
11063188-MM2025-InvFer-Semaine-00,05:10:51,05:10:51,MM07,6,0,0
11063188-MM2025-InvFer-Semaine-00,05:12:00,05:12:00,MM06,7,0,0
11063188-MM2025-InvFer-Semaine-00,05:18:00,05:18:00,MM08,8,0,0
11063189-MM2025-InvFer-Semaine-00,05:20:00,05:20:00,MM08,1,0,0
11063189-MM2025-InvFer-Semaine-00,05:25:00,05:25:00,MM06,2,0,0
11063189-MM2025-InvFer-Semaine-00,05:25:46,05:25:46,MM07,3,0,0
11063189-MM2025-InvFer-Semaine-00,05:27:00,05:27:00,MM05,4,0,0
11063189-MM2025-InvFer-Semaine-00,05:28:22,05:28:22,MM04,5,0,0
11063189-MM2025-InvFer-Semaine-00,05:30:00,05:30:00,MM01,6,0,0
11063189-MM2025-InvFer-Semaine-00,05:31:00,05:31:00,MM02,7,0,0
11063189-MM2025-InvFer-Semaine-00,05:36:00,05:36:00,MM03,8,0,0
11063190-MM2025-InvFer-Semaine-00,05:20:00,05:20:00,MM03,1,0,0
11063190-MM2025-InvFer-Semaine-00,05:24:00,05:24:00,MM02,2,0,0
11063190-MM2025-InvFer-Semaine-00,05:26:00,05:26:00,MM01,3,0,0
11063190-MM2025-InvFer-Semaine-00,05:27:38,05:27:38,MM04,4,0,0
11063190-MM2025-InvFer-Semaine-00,05:29:00,05:29:00,MM05,5,0,0
11063190-MM2025-InvFer-Semaine-00,05:30:51,05:30:51,MM07,6,0,0
11063190-MM2025-InvFer-Semaine-00,05:32:00,05:32:00,MM06,7,0,0
11063190-MM2025-InvFer-Semaine-00,05:38:00,05:38:00,MM08,8,0,0
11063191-MM2025-InvFer-Semaine-00,05:40:00,05:40:00,MM08,1,0,0
11063191-MM2025-InvFer-Semaine-00,05:45:00,05:45:00,MM06,2,0,0
11063191-MM2025-InvFer-Semaine-00,05:45:46,05:45:46,MM07,3,0,0
11063191-MM2025-InvFer-Semaine-00,05:47:00,05:47:00,MM05,4,0,0
11063191-MM2025-InvFer-Semaine-00,05:48:22,05:48:22,MM04,5,0,0
11063191-MM2025-InvFer-Semaine-00,05:50:00,05:50:00,MM01,6,0,0
11063191-MM2025-InvFer-Semaine-00,05:51:00,05:51:00,MM02,7,0,0
11063191-MM2025-InvFer-Semaine-00,05:56:00,05:56:00,MM03,8,0,0
11063192-MM2025-InvFer-Semaine-00,09:05:00,09:05:00,MM08,1,0,0
11063192-MM2025-InvFer-Semaine-00,09:10:00,09:10:00,MM06,2,0,0
11063192-MM2025-InvFer-Semaine-00,09:10:46,09:10:46,MM07,3,0,0
11063192-MM2025-InvFer-Semaine-00,09:12:00,09:12:00,MM05,4,0,0
11063192-MM2025-InvFer-Semaine-00,09:13:22,09:13:22,MM04,5,0,0
11063192-MM2025-InvFer-Semaine-00,09:15:00,09:15:00,MM01,6,0,0
11063192-MM2025-InvFer-Semaine-00,09:16:00,09:16:00,MM02,7,0,0
11063192-MM2025-InvFer-Semaine-00,09:21:00,09:21:00,MM03,8,0,0
11063193-MM2025-InvFer-Semaine-00,05:40:00,05:40:00,MM03,1,0,0
11063193-MM2025-InvFer-Semaine-00,05:44:00,05:44:00,MM02,2,0,0
11063193-MM2025-InvFer-Semaine-00,05:46:00,05:46:00,MM01,3,0,0
11063193-MM2025-InvFer-Semaine-00,05:47:38,05:47:38,MM04,4,0,0
11063193-MM2025-InvFer-Semaine-00,05:49:00,05:49:00,MM05,5,0,0
11063193-MM2025-InvFer-Semaine-00,05:50:51,05:50:51,MM07,6,0,0
11063193-MM2025-InvFer-Semaine-00,05:52:00,05:52:00,MM06,7,0,0
11063193-MM2025-InvFer-Semaine-00,05:58:00,05:58:00,MM08,8,0,0
11063194-MM2025-InvFer-Semaine-00,06:00:00,06:00:00,MM03,1,0,0
11063194-MM2025-InvFer-Semaine-00,06:04:00,06:04:00,MM02,2,0,0
11063194-MM2025-InvFer-Semaine-00,06:06:00,06:06:00,MM01,3,0,0
11063194-MM2025-InvFer-Semaine-00,06:07:38,06:07:38,MM04,4,0,0
11063194-MM2025-InvFer-Semaine-00,06:09:00,06:09:00,MM05,5,0,0
11063194-MM2025-InvFer-Semaine-00,06:10:51,06:10:51,MM07,6,0,0
11063194-MM2025-InvFer-Semaine-00,06:12:00,06:12:00,MM06,7,0,0
11063194-MM2025-InvFer-Semaine-00,06:18:00,06:18:00,MM08,8,0,0
11063195-MM2025-InvFer-Semaine-00,09:11:00,09:11:00,MM08,1,0,0
11063195-MM2025-InvFer-Semaine-00,09:16:00,09:16:00,MM06,2,0,0
11063195-MM2025-InvFer-Semaine-00,09:16:46,09:16:46,MM07,3,0,0
11063195-MM2025-InvFer-Semaine-00,09:18:00,09:18:00,MM05,4,0,0
11063195-MM2025-InvFer-Semaine-00,09:19:22,09:19:22,MM04,5,0,0
11063195-MM2025-InvFer-Semaine-00,09:21:00,09:21:00,MM01,6,0,0
11063195-MM2025-InvFer-Semaine-00,09:22:00,09:22:00,MM02,7,0,0
11063195-MM2025-InvFer-Semaine-00,09:27:00,09:27:00,MM03,8,0,0
11063196-MM2025-InvFer-Semaine-00,06:47:00,06:47:00,MM03,1,0,0
11063196-MM2025-InvFer-Semaine-00,06:51:00,06:51:00,MM02,2,0,0
11063196-MM2025-InvFer-Semaine-00,06:53:00,06:53:00,MM01,3,0,0
11063196-MM2025-InvFer-Semaine-00,06:54:38,06:54:38,MM04,4,0,0
11063196-MM2025-InvFer-Semaine-00,06:56:00,06:56:00,MM05,5,0,0
11063196-MM2025-InvFer-Semaine-00,06:57:51,06:57:51,MM07,6,0,0
11063196-MM2025-InvFer-Semaine-00,06:59:00,06:59:00,MM06,7,0,0
11063196-MM2025-InvFer-Semaine-00,07:05:00,07:05:00,MM08,8,0,0
11063197-MM2025-InvFer-Semaine-00,06:54:00,06:54:00,MM03,1,0,0
11063197-MM2025-InvFer-Semaine-00,06:58:00,06:58:00,MM02,2,0,0
11063197-MM2025-InvFer-Semaine-00,07:00:00,07:00:00,MM01,3,0,0
11063197-MM2025-InvFer-Semaine-00,07:01:38,07:01:38,MM04,4,0,0
11063197-MM2025-InvFer-Semaine-00,07:03:00,07:03:00,MM05,5,0,0
