trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
11062735-MM2025-InvFes-Dimanche-00,09:03:00,09:03:00,MM08,8,0,0
11062736-MM2025-InvFes-Dimanche-00,08:55:00,08:55:00,MM03,1,0,0
11062736-MM2025-InvFes-Dimanche-00,08:59:00,08:59:00,MM02,2,0,0
11062736-MM2025-InvFes-Dimanche-00,09:01:00,09:01:00,MM01,3,0,0
11062736-MM2025-InvFes-Dimanche-00,09:02:38,09:02:38,MM04,4,0,0
11062736-MM2025-InvFes-Dimanche-00,09:04:00,09:04:00,MM05,5,0,0
11062736-MM2025-InvFes-Dimanche-00,09:05:51,09:05:51,MM07,6,0,0
11062736-MM2025-InvFes-Dimanche-00,09:07:00,09:07:00,MM06,7,0,0
11062736-MM2025-InvFes-Dimanche-00,09:13:00,09:13:00,MM08,8,0,0
11062737-MM2025-InvFes-Dimanche-00,09:05:00,09:05:00,MM03,1,0,0
11062737-MM2025-InvFes-Dimanche-00,09:09:00,09:09:00,MM02,2,0,0
11062737-MM2025-InvFes-Dimanche-00,09:11:00,09:11:00,MM01,3,0,0
11062737-MM2025-InvFes-Dimanche-00,09:12:38,09:12:38,MM04,4,0,0
11062737-MM2025-InvFes-Dimanche-00,09:14:00,09:14:00,MM05,5,0,0
11062737-MM2025-InvFes-Dimanche-00,09:15:51,09:15:51,MM07,6,0,0
11062737-MM2025-InvFes-Dimanche-00,09:17:00,09:17:00,MM06,7,0,0
11062737-MM2025-InvFes-Dimanche-00,09:23:00,09:23:00,MM08,8,0,0
11062738-MM2025-InvFes-Dimanche-00,09:25:00,09:25:00,MM03,1,0,0
11062738-MM2025-InvFes-Dimanche-00,09:29:00,09:29:00,MM02,2,0,0
11062738-MM2025-InvFes-Dimanche-00,09:31:00,09:31:00,MM01,3,0,0
11062738-MM2025-InvFes-Dimanche-00,09:32:38,09:32:38,MM04,4,0,0
11062738-MM2025-InvFes-Dimanche-00,09:34:00,09:34:00,MM05,5,0,0
11062738-MM2025-InvFes-Dimanche-00,09:35:51,09:35:51,MM07,6,0,0
11062738-MM2025-InvFes-Dimanche-00,09:37:00,09:37:00,MM06,7,0,0
11062738-MM2025-InvFes-Dimanche-00,09:43:00,09:43:00,MM08,8,0,0
11062739-MM2025-InvFes-Dimanche-00,09:35:00,09:35:00,MM03,1,0,0
11062739-MM2025-InvFes-Dimanche-00,09:39:00,09:39:00,MM02,2,0,0
11062739-MM2025-InvFes-Dimanche-00,09:41:00,09:41:00,MM01,3,0,0
11062739-MM2025-InvFes-Dimanche-00,09:42:38,09:42:38,MM04,4,0,0
11062739-MM2025-InvFes-Dimanche-00,09:44:00,09:44:00,MM05,5,0,0
11062739-MM2025-InvFes-Dimanche-00,09:45:51,09:45:51,MM07,6,0,0
11062739-MM2025-InvFes-Dimanche-00,09:47:00,09:47:00,MM06,7,0,0
11062739-MM2025-InvFes-Dimanche-00,09:53:00,09:53:00,MM08,8,0,0
11062740-MM2025-InvFes-Dimanche-00,09:45:00,09:45:00,MM03,1,0,0
11062740-MM2025-InvFes-Dimanche-00,09:49:00,09:49:00,MM02,2,0,0
11062740-MM2025-InvFes-Dimanche-00,09:51:00,09:51:00,MM01,3,0,0
11062740-MM2025-InvFes-Dimanche-00,09:52:38,09:52:38,MM04,4,0,0
11062740-MM2025-InvFes-Dimanche-00,09:54:00,09:54:00,MM05,5,0,0
11062740-MM2025-InvFes-Dimanche-00,09:55:51,09:55:51,MM07,6,0,0
11062740-MM2025-InvFes-Dimanche-00,09:57:00,09:57:00,MM06,7,0,0
11062740-MM2025-InvFes-Dimanche-00,10:03:00,10:03:00,MM08,8,0,0
11062741-MM2025-InvFes-Dimanche-00,10:05:00,10:05:00,MM03,1,0,0
11062741-MM2025-InvFes-Dimanche-00,10:09:00,10:09:00,MM02,2,0,0
